Gutschein/AktionsID;ProgrammID;Programmname;Titel;Gutschein-Code;Beschreibung;gültig ab;gültig bis;geändert am;Gutschein-/Aktionsart 1;Gutschein-/Aktionsart 2;Gutschein-/Aktionsart 3;Mindestbestellwert;Nur für Neukunden;Exklusiv;Partnerschaftsstatus;Werbemittelcode
"93690";"4823";"ORSAY - Feminine Style";"20% Rabatt auf alle Accessoires";"90280";"Erhalten Sie bis einschließlich 24.05.2015 mit dem Code 90280 satte -20% Rabatt auf alle Accessoires bei ORSAY!";"22.05.2015 12:46:00";"24.05.2015 23:59:00";"22.05.2015 12:45:34";"Auf ausgewählte Produkte";"";"";"";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=4823&type=text&tnb=16&ent=47' target='_blank'> 20% Rabatt auf alle Accessoires</a> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=4823&type=text&tnb=16&ent=47' target='_blank'> www.orsay.de</a> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=4823&type=text&tnb=16&ent=47' target='_blank'> Hier klicken!</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=4823&type=text&tnb=16' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93685";"7623";"Puzzle.de";"5 € for 50 € order";"PUZZLES5";"5 € for 50 € order";"23.05.2015 00:00:00";"23.11.2015 00:00:00";"22.05.2015 12:30:53";"Für alle Produkte";"";"";"5,00 €";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=7623&type=text&tnb=54' target='_blank'> 5 € for 50 € order</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=7623&type=text&tnb=54' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93683";"7623";"Puzzle.de";"3 € for 20 € order";"PUZZLE3";"3 € for 20 € order";"23.05.2015 00:00:00";"23.11.2015 00:00:00";"22.05.2015 12:23:21";"Für alle Produkte";"";"";"20,00 €";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=7623&type=text&tnb=54' target='_blank'> 3 € for 20 € order</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=7623&type=text&tnb=54' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93667";"8040";"Galeria Kaufhof";"12 € Rabatt auf alle Spielwaren";"KINDERTAG15";"12 € Rabatt ab 100 € Einkaufswert auf alle Spielwaren mit dem Gutscheincode KINDERTAG15 (gültig vom 25.05. bis 01.06.15)!";"25.05.2015 00:00:00";"01.06.2015 23:59:00";"22.05.2015 10:54:02";"Bei mehreren Produkten";"";"";"100,00 €";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=8040&type=text&tnb=17&ent=1994' target='_blank'> 12 € Rabatt auf alle Spielwaren</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=8040&type=text&tnb=17' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93464";"7768";"Fressnapf-Online-Shop";"Nur HEUTE: 7% Rabatt auf ALLES!";"PFINGSTEN15";"Sparen Sie nur HEUTE 7% ab einem Bestellwert von 35€ auf das gesamte Sortiment! Also schnell zuschlagen!";"25.05.2015 00:01:00";"25.05.2015 23:59:00";"22.05.2015 10:50:58";"Für alle Produkte";"Versandkostenfrei";"";"35,00 €";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=7768&type=text&tnb=243&ent=533' target='_blank'> Nur HEUTE: 7% Rabatt auf ALLES!</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=7768&type=text&tnb=243' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93662";"10037";"BrillenPlatz.de";"15% auf neue Brillengläser für die eigene Fassung!";"aff15pverg0415";"Mit dem Gutscheincode aff15pverg0415 erhalten alle Kunden 15% Nachlass auf Verglasungsservice für die Eigene Brille bei Brillenplatz.de - Kein MBW Nicht kombinierbar mit anderen Gutscheinen. Verlängerung der Aktion möglich. Für Neukunden und Bestandskunden. Nur einmal pro Kunde einlösbar.";"24.05.2015 00:00:00";"21.06.2015 23:59:00";"22.05.2015 10:49:42";"Auf ausgewählte Produkte";"";"";"";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=10037&type=text&tnb=10&ent=4' target='_blank'> 15% auf neue Brillengläser für die eigene Fassung!</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=10037&type=text&tnb=10' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93622";"3555";"ebrosia Weinshop";"Goldprämierter Bordeaux AOP - 6 Flaschen nur 39.99 € + GRATIS Versand";"151561-ffe533";"Nur solange der Vorrat reicht gibt es bei ebrosia den goldprämierten Château Les Mondons Bordeaux AOP aus dem Bordeaux-Jahrundertjahgang 2010 zum sensationellen Angebotspreis von nur 39,99 € durch einen Gutscheincode. Dazu entfallen mit dem Code auch noch die Versandkosten";"22.05.2015 08:00:00";"02.06.2015 23:59:00";"22.05.2015 09:29:58";"Auf ausgewählte Produkte";"Versandkostenfrei";"";"";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=3555&type=text&tnb=51&ent=265' target='_blank'> Goldprämierter Bordeaux AOP - 6 Flaschen nur 39.99 € + GRATIS Versand</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=3555&type=text&tnb=51' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93522";"4000";"Posterjack.com - Wir drucken Ihre Fotos als Poster";"20% Rabatt auf Alles";"SCHNELLSPAR20";"Bis inklusive 27.05. haben Besucher von posterjack die Möglichkeit auf 20% Rabatt bei einem MBW von 29,00 €.";"21.05.2015 00:00:00";"27.05.2015 23:59:00";"21.05.2015 13:54:41";"Für alle Produkte";"";"";"29,00 €";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=4000&type=text&tnb=12' target='_blank'> 20% Rabatt auf Alles</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=4000&type=text&tnb=12' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93520";"4000";"Posterjack.com - Wir drucken Ihre Fotos als Poster";"30% Rabatt auf Alles";"SCHNELLSPAR30";"Bis inklusive 25.05. haben Besucher von posterjack die Möglichkeit auf 30% Rabatt bei einem MBW von 29,00 €.";"21.05.2015 00:00:00";"27.05.2015 23:59:00";"21.05.2015 13:53:22";"Für alle Produkte";"";"";"29,00 €";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=4000&type=text&tnb=12' target='_blank'> 30% Rabatt auf Alles</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=4000&type=text&tnb=12' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93473";"10037";"BrillenPlatz.de";"5,00 € auf Sonnen- und Sporbrillen";"aff5esun0415";"5,00 € Rabatt auf alle Sonnen- & Sportbrillen (inkl. Skibrillen) erhalten alle Kunden mit dem Gutscheincode aff5esun0415. Nicht kombinierbar mit anderen Gutscheinen. Verlängerung der Aktion möglich. Für Neukunden und Bestandskunden. Nur einmal pro Kunde einlösbar.";"21.05.2015 00:00:00";"07.06.2015 00:00:00";"21.05.2015 12:30:43";"Auf ausgewählte Produkte";"";"";"49,00 €";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=10037&type=text&tnb=10&ent=3' target='_blank'> 5,00 € auf Sonnen- und Sporbrillen</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=10037&type=text&tnb=10' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93438";"1332";"Schwab Versand";"Gratis Versand";"99998";"Aktion: Gratis Versand Gutscheincode: 99998 Gutscheinwert: 6,95€ Mindestbestellwert: >30 € Zeitraum: 21.05. - 02.06.2015";"21.05.2015 00:00:00";"02.06.2015 23:59:00";"21.05.2015 09:44:03";"Versandkostenfrei";"";"";"30,00 €";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=1332&type=text&tnb=9' target='_blank'> Gratis Versand</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=1332&type=text&tnb=9' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93435";"5261";"reBuy.de - Der einfache An- und Verkaufshop";"20% Extra auf Medien (Games, Bücher, Filme, Musik) am Pfingstmontag 2015";"20ONTOPMEDIA";"Am 25.05.2015 läuft eine Medienankausaktion auf reBuy.de. Alle Kunden, die an diesem Tag Medien (Games/Bücher/Filme/Musik) auf reBuy.de verkaufen erhalten 20% Extra, wenn sie den Gutscheincode 20ONTOPMEDIA verwenden. Die Aktion läuft nur am Pfingstmontag.";"25.05.2015 00:00:00";"25.05.2015 23:59:00";"21.05.2015 09:30:30";"Auf ausgewählte Produkte";"";"";"0,00 €";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=5261&type=text&tnb=192&ent=1068' target='_blank'> 20% Extra auf Medien (Games, Bücher, Filme, Musik) am Pfingstmontag 2015</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=5261&type=text&tnb=192' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93408";"3720";"Karstadt - Online Shop";"20% Rabatt auf ausgewählte Outdoorjacken";"outdoor20";"20% Rabatt auf ausgewählte Outdoorjacken - Aktionscode: outdoor20 - Laufzeit: 26.05.-31.05.2015 - Rabatt gültig bei karstadt.de und bei karstadtsports.de";"26.05.2015 00:00:00";"31.05.2015 23:59:00";"20.05.2015 17:30:44";"Auf ausgewählte Produkte";"";"";"";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=3720&type=text&tnb=47' target='_blank'> 20% Rabatt auf ausgewählte Outdoorjacken</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=3720&type=text&tnb=47' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93407";"3720";"Karstadt - Online Shop";"20% Rabatt auf Mode von Phase Eight";"phase8";"20% Rabatt auf Mode von Phase Eight - Aktionscode: phase8 - Laufzeit: 20.05.-31.05.2015 - Rabatt gültig bei karstadt.de";"20.05.2015 00:00:00";"31.05.2015 23:59:00";"20.05.2015 17:27:17";"Auf ausgewählte Produkte";"";"";"";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=3720&type=text&tnb=47' target='_blank'> 20% Rabatt auf Mode von Phase Eight</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=3720&type=text&tnb=47' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93404";"4311";"BUFFALO - Offizieller Online-Shop der Trendmarke!";"15% auf alles im Buffalo Online-Shop";"BU2505FF8";"Spare 15 Prozent auf sämtliche Artikel inklusive Sale bei deinem Einkauf im offiziellen Buffalo Online-Shop!";"22.05.2015 00:00:00";"26.05.2015 23:59:00";"20.05.2015 17:00:14";"Für alle Produkte";"Versandkostenfrei";"Sonstige";"0,00 €";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=4311&type=text&tnb=32' target='_blank'> 15% auf alles im Buffalo Online-Shop</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=4311&type=text&tnb=32' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93403";"8386";"frontlineshop.com - Der Premium Fashion Shop";"Mid Season Sale - bis zu 70% Rabatt";"kein Code erforderlich";"Mid Season Sale! Neue Frühjahrs-Styles bis zu 70% reduziert!";"20.05.2015 00:01:00";"25.05.2015 23:59:00";"20.05.2015 16:49:32";"Auf ausgewählte Produkte";"";"";"";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=8386&type=text&tnb=9&ent=6' target='_blank'> Mid Season Sale - bis zu 70% Rabatt</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=8386&type=text&tnb=9' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"91540";"4823";"ORSAY - Feminine Style";"5 € Rabatt ab einem Mindestbestellwert von 50 €";"90209";"5€ Rabatt ab einem Mindestbestellwert von 50€! Mit dem Code "90209" bei ORSAY!";"05.05.2015 00:00:00";"30.06.2015 00:00:00";"20.05.2015 14:33:28";"Auf ausgewählte Produkte";"";"";"50,00 €";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=4823&type=text&tnb=16' target='_blank'> 5 € Rabatt ab einem Mindestbestellwert von 50 €</a> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=4823&type=text&tnb=16' target='_blank'> www.orsay.de</a> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=4823&type=text&tnb=16' target='_blank'> Hier klicken!</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=4823&type=text&tnb=16' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93283";"5860";"sheego.de";"10% Rabatt auf Wäsche und Bademode";"18008";"Thema: 10% Rabatt auf Wäsche und Bademode Gutscheincode: 18008 MBW: kein MBW Zielgruppe: Für Neu- und Bestandskunden Laufzeit: 20.05.-02.06.2015";"20.05.2015 00:00:00";"02.06.2015 23:59:00";"20.05.2015 10:31:54";"Auf ausgewählte Produkte";"";"";"";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=5860&type=text&tnb=14' target='_blank'> 10% Rabatt auf Wäsche und Bademode</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=5860&type=text&tnb=14' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93220";"6740";"meinfoto.de, meinXXL.de";"Premium Fotogeschenke: Bis zu 73% Rabatt auf allles!";"FUNPHOTO5";"Premium Fotogeschenke: Bis zu 73% Rabatt auf allles!";"20.05.2015 00:00:00";"30.09.2015 00:00:00";"20.05.2015 09:53:34";"Auf ausgewählte Produkte";"";"";"";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=6740&type=text&tnb=34&ent=62' target='_blank'> Premium Fotogeschenke: Bis zu 73% Rabatt auf allles!</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=6740&type=text&tnb=34' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93224";"3830";"Beate Uhse";"RABATT - 15% auf das gesamte Beate Uhse Sortiment";"RABATT";"Bestellen Sie jetzt bei Beate Uhse und erhalten Sie 15% Rabatt auf alle Produkte des Beate Uhse Online Shops bei einem Mindestbestellwert von 45 Euro. Verwenden Sie hierfür einfach den Aktionscode RABATT. Nicht mit anderen Rabattaktionen kombinierbar.";"20.05.2015 00:00:00";"20.06.2015 00:00:00";"19.05.2015 14:25:51";"Für alle Produkte";"";"";"45,00 €";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=3830&type=text&tnb=51' target='_blank'> RABATT - 15% auf das gesamte Beate Uhse Sortiment</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=3830&type=text&tnb=51' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
